[Type: Postech2019_Src],[Date: 08/29/19 09:39:44],,,,,,,,,,,,,,,,,,,
2.521,44.31,44.33,658.9,2747,2682,1120,1041,302,2225,2512,0.35724,0,16,45.19858261,45.235,45.23,0.031417393,0.005,Post??,0.00277
2.521,287.39,287.2,657.8,2351.6,2574.8,1128,1116,302,2224,3124,0.35724,0,22,286.2135837,284.246,40.4,,,,0.00277
2.521,268.88,268.68,657.9,2367,2875.8,1128,1113,302,2224,3124,0.35724,0,22,268.2760549,266.466,40.4,,,,0.00277
2.521,246.04,245.86,658,3103.5,3010.2,1128,1110,302,2224,3124,0.35724,0,22,245.7632139,244.193,40.4,,,,0.00277
2.521,224.26,224.09,658,3092.4,3080.2,1128,1108,302,2224,3124,0.35724,0,22,224.2550138,222.865,40.4,,,,0.00277
2.521,203.52,203.36,658.1,3078.9,2792,1128,1106,302,2224,3124,0.35724,0,22,203.2414241,202.016,40.4,,,,0.00277
2.521,183.37,183.23,658.1,3019.2,2840.1,1128,1103,302,2224,3124,0.35724,0,22,183.335038,182.261,40.4,,,,0.00277
2.521,164.58,164.44,658.2,2906.3,2671.6,1128,1100,302,2224,3124,0.35724,0,22,164.4361501,163.505,40.4,,,,0.00277
2.521,146.84,146.71,658.3,2823.7,2612.1,1128,1097,302,2224,3124,0.35724,0,22,146.7516684,145.955,40.4,,,,0.00277
2.521,130.54,130.42,658.4,2756.8,2488.8,1128,1094,302,2224,3124,0.35724,0,22,130.4001651,129.728,40.4,,,,0.00277
2.521,115.72,115.64,658.4,2481,2422.4,1128,1091,302,2224,3124,0.35724,0,22,115.6533997,115.078,40.4,,,,0.00277
2.521,102.64,102.53,658.5,2365.2,2316.1,1128,1085,302,2224,3124,0.35724,0,22,102.4906218,102.009,40.4,,,,0.00277
2.521,91.04,90.98,658.6,2241.4,2271,1128,1080,302,2224,3124,0.35724,0,22,90.97379631,90.563,40.4,,,,0.00277
2.521,80.94,80.85,658.6,2191,2145.4,1128,1073,302,2224,3124,0.35724,0,22,80.73851821,80.399,40.4,,,,0.00277
2.521,73.66,73.65,658.7,2874.4,2415.5,1128,871,302,2224,3124,0.35724,0,22,74.24722901,73.915,40.4,,,,0.00277
2.521,67.53,67.85,658.7,2901.5,2701.4,1128,868,302,2224,3124,0.35724,0,22,68.94335981,68.612,40.4,,,,0.00277
2.521,62.66,62.61,658.7,2815.7,2854.1,1128,865,302,2224,3124,0.35724,0,22,63.95303621,63.665,40.4,,,,0.00277
2.521,57.95,57.92,658.8,2827.3,2846.8,1128,861,302,2224,3124,0.35724,0,22,59.29040851,59.023,40.4,,,,0.00277
2.521,53.54,53.51,658.8,2834,2859.4,1128,858,302,2224,3124,0.35724,0,22,54.93409841,54.687,40.4,,,,0.00277
2.471,49.38,49.36,658.8,2847.4,2859.6,1128,853,302,2224,3124,0.35724,0,22,50.81968601,50.643,40.4,,,,0.00277
2.441,45.58,45.56,658.8,2834.3,2850.6,1128,849,302,2224,3124,0.35724,0,22,47.03926291,46.904,40.4,,,,0.00277
2.441,42.08,42.11,658.8,2821.2,2807.6,1128,842,302,2224,3124,0.35724,0,22,43.56412441,43.456,40.4,,,,0.00277
2.381,38.87,39.06,658.8,2800,2731.5,1128,837,302,2224,3124,0.35724,0,22,40.44125731,40.367,40.4,0.041257307,0.033,Post??,0.00277
2.521,285.69,285.6,657.9,2446,2638.2,1125,1114,302,2225,2627,0.35724,0,20,284.6810297,282.769,40.27,,,,0.00277
2.521,266.6,266.47,657.9,2459.9,2856.8,1125,1112,302,2225,2627,0.35724,0,20,266.011578,264.266,40.27,,,,0.00277
2.521,242.05,241.99,658,3145.8,3046.4,1125,1109,302,2225,2627,0.35724,0,20,241.9408864,240.44,40.27,,,,0.00277
2.521,218.79,218.63,658,3126.2,3022.6,1125,1107,302,2225,2627,0.35724,0,20,218.7056448,217.401,40.27,,,,0.00277
2.521,196.52,196.48,658.1,3104.4,2832.2,1125,1105,302,2225,2627,0.35724,0,20,196.4374805,195.306,40.27,,,,0.00277
2.521,175.23,175.12,658.1,3012.1,2788,1125,1103,302,2225,2627,0.35724,0,20,175.1656937,174.202,40.27,,,,0.00277
2.521,155.24,155.21,658.2,2974.2,2675.4,1125,1099,302,2225,2627,0.35724,0,20,155.2399014,154.425,40.27,,,,0.00277
2.521,136.85,136.75,658.2,2929.4,2644.7,1125,1097,302,2225,2627,0.35724,0,20,136.8642936,136.198,40.27,,,,0.00277
2.521,120.03,119.99,658.3,2810,2521.7,1125,1094,302,2225,2627,0.35724,0,20,120.0544236,119.51,40.27,,,,0.00277
2.521,105.09,105.02,658.4,2599.2,2441.8,1125,1090,302,2225,2627,0.35724,0,20,105.0888471,104.647,40.27,,,,0.00277
2.521,91.95,91.93,658.4,2450.4,2337.2,1125,1085,302,2225,2627,0.35724,0,20,91.95654821,91.6,40.27,,,,0.00277
2.521,80.74,80.7,658.5,2328.7,2244.4,1125,1080,302,2225,2627,0.35724,0,20,80.68059071,80.392,40.27,,,,0.00277
2.351,72.03,72.03,658.5,3248,2728.4,1125,871,302,2225,2627,0.35724,0,20,73.03708751,72.954,40.27,,,,0.00277
2.351,65.24,65.23,658.6,3190.7,3014.6,1125,869,302,2225,2627,0.35724,0,20,66.71975191,66.669,40.27,,,,0.00277
2.351,59.69,59.68,658.6,3033.7,3042,1125,864,302,2225,2627,0.35724,0,20,61.26970641,61.225,40.27,,,,0.00277
2.351,54.6,54.58,658.6,3040.7,3059.3,1125,860,302,2225,2627,0.35724,0,20,56.23600581,56.214,40.27,,,,0.00277
2.321,49.85,49.85,658.6,3067.2,3077.2,1125,854,302,2225,2627,0.35724,0,20,51.57374461,51.594,40.27,,,,0.00277
2.321,45.67,45.67,658.7,3025.6,3030.1,1125,849,302,2225,2627,0.35724,0,20,47.36212881,47.395,40.27,,,,0.00277
2.321,41.95,41.91,658.7,2964.7,2985.8,1125,842,302,2225,2627,0.35724,0,20,43.57437481,43.62,40.27,,,,0.00277
2.321,38.68,38.7,658.7,2884.9,2875.6,1125,837,302,2225,2627,0.35724,0,20,40.23983431,40.281,40.27,0.030165693,0.011,Post??,0.00277
2.565,238.15,238.39,720.8,3489,3316.5,1150,1132,250,1520,3734,0.34766,8,20,238.1057955,236.746,11.28,,,,0.00277
2.565,224.16,224.14,720.8,3453.3,3933,1150,1130,250,1520,3734,0.34766,8,20,224.8667794,223.568,11.28,,,,0.00277
2.565,207.42,207.19,720.9,3811.8,3998,1150,1125,250,1520,3734,0.34766,8,20,208.0950363,206.975,11.28,,,,0.00277
2.565,191.55,191.65,720.9,3867,4154.5,1150,1123,250,1520,3734,0.34766,8,20,192.9214017,191.896,11.28,,,,0.00277
2.565,175.37,175.8,720.9,4158.1,3790.3,1150,1119,250,1520,3734,0.34766,8,20,176.643012,175.799,11.28,,,,0.00277
2.565,159.62,160.12,720.9,4179.7,4107.7,1150,1116,250,1520,3734,0.34766,8,20,161.5566644,160.791,11.28,,,,0.00277
2.565,142.32,142.57,720.9,4170.4,3959.5,1150,1111,250,1520,3734,0.34766,8,20,143.8967929,143.313,11.28,,,,0.00277
2.565,125.66,126.73,720.9,4376,3935.2,1150,1108,250,1520,3734,0.34766,8,20,128.1797637,127.682,11.28,,,,0.00277
2.565,105.61,105.56,687.2,3770.7,3917.2,1150,1092,250,1520,3734,0.34766,8,20,107.4613748,107.077,11.28,,,,0.00277
2.532,89.32,89.83,687.2,3217.3,3438.1,1150,1087,250,1520,3734,0.34766,8,20,91.2152807,90.951,11.28,,,,0.00277
2.532,74.38,74.38,687.3,3455.1,3578.8,1150,1078,250,1520,3734,0.34766,8,20,76.0400706,75.929,11.28,,,,0.00277
2.532,60.01,60.54,687.3,3660,3712.2,1150,1071,250,1520,3734,0.34766,8,20,62.530219,62.489,11.28,,,,0.00277
2.532,47.31,47.72,687.3,3835.9,3906.6,1150,1060,250,1520,3734,0.34766,8,20,50.0849836,50.148,11.28,,,,0.00277
2.532,36.36,37.11,687.3,4115,3980.9,1150,1050,250,1520,3734,0.34766,8,20,39.6784159,39.794,11.28,,,,0.00277
2.532,27.72,27.66,687.4,4280.2,4328.3,1150,1033,250,1520,3734,0.34766,8,20,30.7669358,30.988,11.28,,,,0.00277
2.532,20.8,21.56,687.4,4274.3,4072.2,1150,1021,250,1520,3734,0.34766,8,20,24.404544,24.606,11.28,,,,0.00277
2.532,15.61,16.42,687.4,4401.9,4148.3,1150,1001,250,1520,3734,0.34766,8,20,19.4381126,19.653,11.28,,,,0.00277
2.532,11.67,11.52,687.4,4570.5,4689.5,1150,965,250,1520,3734,0.34766,8,20,15.353674,15.605,11.28,,,,0.00277
2.602,9.24,9.45,687.4,4375.2,4212.3,1150,930,250,1520,3734,0.34766,8,20,12.6783368,12.815,11.28,,,,0.00277
2.732,8.47,9.17,687.4,3833,3439.4,1150,882,250,1520,3734,0.34766,8,20,11.3948705,11.306,11.28,0.1148705,0.026,Post??,0.00277
2.682,236.07,236.36,721.2,3862.6,3685,1152,1131,250,1521,3760,0.34766,10,22,236.6231663,235.14,11.16,,,,0.00277
2.682,220.54,221,721.2,4115,4113.5,1152,1129,250,1521,3760,0.34766,10,22,222.0086639,220.61,11.16,,,,0.00277
2.682,202.24,202.33,721.2,4255.7,4192,1152,1125,250,1521,3760,0.34766,10,22,203.554296,202.34,11.16,,,,0.00277
2.682,184.77,185.51,721.2,4440.2,4290,1152,1123,250,1521,3760,0.34766,10,22,187.0351818,185.915,11.16,,,,0.00277
2.682,166.58,167.19,721.3,4602,4131,1152,1119,250,1521,3760,0.34766,10,22,168.5871678,167.659,11.16,,,,0.00277
2.682,149.3,150.55,721.3,4707.9,4138.3,1152,1117,250,1521,3760,0.34766,10,22,152.1162938,151.289,11.16,,,,0.00277
2.682,142.98,142.33,721.3,2350.3,2880,1152,1111,250,1521,3760,0.34766,10,22,142.1233856,141.48,11.16,,,,0.00277
2.682,133.7,132.76,721.3,2411.8,3228.5,1152,1106,250,1521,3760,0.34766,10,22,133.1241615,132.538,11.16,,,,0.00277
2.682,124.08,123.56,721.3,2517.5,2969.2,1152,1099,250,1521,3760,0.34766,10,22,123.6326267,123.133,11.16,,,,0.00277
2.682,114.06,114.29,721.4,3010.3,3200.8,1152,1094,250,1521,3760,0.34766,10,22,114.797358,114.333,11.16,,,,0.00277
2.682,94.21,94.21,702.7,3940.5,4267,1152,1078,250,1521,3760,0.34766,10,22,96.5788344,96.177,11.16,,,,0.00277
2.682,80.12,80.5,702.7,3708.2,3762.8,1152,1073,250,1521,3760,0.34766,10,22,82.2625561,81.964,11.16,,,,0.00277
2.682,65.68,65.7,702.8,3925.2,4145.9,1152,1063,250,1521,3760,0.34766,10,22,68.1106605,67.923,11.16,,,,0.00277
2.632,53.05,53.53,702.8,4043,4149.5,1152,1057,250,1521,3760,0.34766,10,22,56.0638379,55.989,11.16,,,,0.00277
2.632,42.28,42.07,702.8,4201.9,4369.4,1152,1046,250,1521,3760,0.34766,10,22,44.9665489,45.008,11.16,,,,0.00277
2.632,32.48,33.1,702.8,4398.6,4338.6,1152,1037,250,1521,3760,0.34766,10,22,36.0722,36.128,11.16,,,,0.00277
2.632,24.85,25.71,702.8,4646.5,4445.3,1152,1023,250,1521,3760,0.34766,10,22,28.9128245,28.996,11.16,,,,0.00277
2.632,19.33,20.51,702.8,4740.9,4215.6,1152,1011,250,1521,3760,0.34766,10,22,23.4387377,23.554,11.16,,,,0.00277
2.632,14.74,15.85,702.8,4896.1,4380,1152,992,250,1521,3760,0.34766,10,22,19.0688179,19.186,11.16,,,,0.00277
2.572,11.1,11.82,702.8,4924.3,4678.2,1152,968,250,1521,3760,0.34766,10,22,15.518121,15.698,11.16,,,,0.00277
2.572,8.48,8.39,702.8,4961.5,5030.4,1152,923,250,1521,3760,0.34766,10,22,12.6450131,12.816,11.16,,,,0.00277
2.642,7.83,7.83,702.8,4302.4,4308.6,1152,864,250,1521,3760,0.34766,10,22,11.1553558,11.186,11.16,0.0046442,0.026,????,0.00277
2.642,232.54,232.56,682,2704.7,2671.7,1145,1130,250,2026,2834,0.26888,4,16,231.7763368,230.272,11.06,,,,0.00277
2.642,211.83,212.29,682,2815.9,2901.7,1145,1127,250,2026,2834,0.26888,4,16,212.0211705,210.645,11.06,,,,0.00277
2.642,188.15,188.2,682.1,3186.4,3131.5,1145,1124,250,2026,2834,0.26888,4,16,188.387784,187.261,11.06,,,,0.00277
2.642,163.91,164.5,682.1,3211.6,3173,1145,1121,250,2026,2834,0.26888,4,16,164.9581194,163.989,11.06,,,,0.00277
2.642,139.05,139.02,693.1,3432.8,3719.8,1145,1110,250,2026,2834,0.26888,4,16,140.3180534,139.611,11.06,,,,0.00277
2.69,116.95,117.5,693.1,3514.6,3596,1145,1106,250,2026,2834,0.26888,4,16,118.805984,118.205,11.06,,,,0.00277
2.69,96.25,96.22,693.2,3721,3848.7,1145,1099,250,2026,2834,0.26888,4,16,98.00386041,97.611,11.06,,,,0.00277
2.69,76.32,76.81,693.2,3827.8,4005.7,1145,1093,250,2026,2834,0.26888,4,16,79.00395151,78.72,11.06,,,,0.00277
2.69,60.01,59.68,693.2,3935.6,4201.4,1145,1083,250,2026,2834,0.26888,4,16,62.23296901,62.124,11.06,,,,0.00277
2.69,44.92,45.14,693.2,4133,4298.1,1145,1076,250,2026,2834,0.26888,4,16,47.97503961,47.94,11.06,,,,0.00277
2.69,33.61,34.18,693.3,4207.8,4189.1,1145,1066,250,2026,2834,0.26888,4,16,36.96204001,36.99,11.06,,,,0.00277
2.69,24.45,24.88,693.3,4395.2,4441.3,1145,1054,250,2026,2834,0.26888,4,16,28.09800061,28.189,11.06,,,,0.00277
2.69,17.9,18.71,693.3,4498.6,4269.6,1145,1038,250,2026,2834,0.26888,4,16,21.75741171,21.864,11.06,,,,0.00277
2.69,13.04,13.64,693.3,4549.6,4426.2,1145,1017,250,2026,2834,0.26888,4,16,16.96963941,17.1,11.06,,,,0.00277
2.69,9.55,10.39,693.3,4635,4352.1,1145,985,250,2026,2834,0.26888,4,16,13.69012531,13.793,11.06,,,,0.00277
2.6,7.33,6.98,693.3,4574,4852.6,1145,930,250,2026,2834,0.26888,4,16,11.05247951,11.237,11.06,0.007520494,0.177,????,0.00277
2.7,234.41,234.29,679.9,2479.7,2568.7,1151,1134,250,2217,2792,0.20568,4,16,233.3684609,231.763,11.18,,,,0.00277
2.7,213.74,214.12,679.9,2738.4,2836.2,1151,1131,250,2217,2792,0.20568,4,16,213.7614832,212.297,11.18,,,,0.00277
2.7,191.41,191.32,679.9,2913.2,2966.8,1151,1127,250,2217,2792,0.20568,4,16,191.27401,190.04,11.18,,,,0.00277
2.7,167.97,168.42,680,2966.9,3029.8,1151,1125,250,2217,2792,0.20568,4,16,168.6662114,167.593,11.18,,,,0.00277
2.7,146.67,146.66,703.1,3383.3,3560.8,1151,1112,250,2217,2792,0.20568,4,16,147.5732082,146.781,11.18,,,,0.00277
2.7,123.88,124.39,703.2,3808.5,3831.6,1151,1108,250,2217,2792,0.20568,4,16,125.8745067,125.237,11.18,,,,0.00277
2.7,98.48,98.43,703.2,4504.6,4616.9,1151,1101,250,2217,2792,0.20568,4,16,101.1873115,100.771,11.18,,,,0.00277
2.7,75.94,76.45,703.2,4657.3,4725.3,1151,1097,250,2217,2792,0.20568,4,16,79.55875331,79.274,11.18,,,,0.00277
2.7,58.24,58.03,703.3,4649.5,4833.9,1151,1088,250,2217,2792,0.20568,4,16,61.39026991,61.291,11.18,,,,0.00277
2.7,43.33,43.99,703.3,4690,4616,1151,1080,250,2217,2792,0.20568,4,16,47.19466471,47.156,11.18,,,,0.00277
2.7,32.22,32.8,703.3,4711.1,4676.5,1151,1069,250,2217,2792,0.20568,4,16,36.18252801,36.222,11.18,,,,0.00277
2.7,23.55,24.07,703.3,4768.7,4737.6,1151,1058,250,2217,2792,0.20568,4,16,27.61265511,27.702,11.18,,,,0.00277
2.7,17,17.66,703.4,4912.1,4756.5,1151,1041,250,2217,2792,0.20568,4,16,21.29918141,21.412,11.18,,,,0.00277
2.7,12.45,13.04,703.4,4864.4,4756.7,1151,1020,250,2217,2792,0.20568,4,16,16.74191401,16.868,11.18,,,,0.00277
2.73,9.11,9.75,703.4,4953.6,4735.3,1151,986,250,2217,2792,0.20568,4,16,13.49090621,13.573,11.18,,,,0.00277
2.64,7.11,7.4,703.4,4819.5,4707.7,1151,925,250,2217,2792,0.20568,4,16,11.19067541,11.304,11.18,0.01067541,0.124,????,0.00277
2.64,250.03,249.28,660.8,975.3,1512.7,1148,1130,250,2116,2432,0.3408,6,18,246.9144282,245.127,11.96,,,,0.00277
2.64,234.86,235.45,660.8,2235.1,2176.7,1148,1127,250,2116,2432,0.3408,6,18,234.1799223,232.51,11.96,,,,0.00277
2.64,219.07,219.34,660.9,2666.9,2479.3,1148,1124,250,2116,2432,0.3408,6,18,218.581708,217.11,11.96,,,,0.00277
2.64,203.42,204,660.9,2447.9,2401.5,1148,1121,250,2116,2432,0.3408,6,18,203.2771822,201.893,11.96,,,,0.00277
2.64,186.92,186.99,661,2564.4,2501,1148,1117,250,2116,2432,0.3408,6,18,186.4932805,185.296,11.96,,,,0.00277
2.64,169.34,169.99,661,2598.7,2527.6,1148,1114,250,2116,2432,0.3408,6,18,169.6966633,168.597,11.96,,,,0.00277
2.64,161.29,161.29,697,1638.4,2297.8,1148,1103,250,2116,2432,0.3408,6,18,160.3937063,159.53,11.96,,,,0.00277
2.64,135.33,135.83,697,4062.3,4176.4,1148,1098,250,2116,2432,0.3408,6,18,137.7801397,137.12,11.96,,,,0.00277
2.64,108.91,108.9,697.1,4788.2,4568,1148,1093,250,2116,2432,0.3408,6,18,111.5364768,111.147,11.96,,,,0.00277
2.64,83.76,84.27,697.1,5231.9,5000.3,1148,1090,250,2116,2432,0.3408,6,18,87.73455372,87.497,11.96,,,,0.00277
2.64,63.68,63.71,697.1,5159.3,5140.6,1148,1083,250,2116,2432,0.3408,6,18,67.50952532,67.438,11.96,,,,0.00277
2.64,47.14,47.57,697.1,5064.5,5124.4,1148,1078,250,2116,2432,0.3408,6,18,51.50271192,51.516,11.96,,,,0.00277
2.64,35.09,34.95,697.2,4983.4,5084.6,1148,1067,250,2116,2432,0.3408,6,18,38.89104452,39.03,11.96,,,,0.00277
2.64,25.83,26.47,697.2,4891.3,4800.3,1148,1058,250,2116,2432,0.3408,6,18,30.12242652,30.278,11.96,,,,0.00277
2.64,19.16,19.88,697.2,4873.7,4701,1148,1043,250,2116,2432,0.3408,6,18,23.45936542,23.641,11.96,,,,0.00277
2.64,14.19,14.54,697.2,4812.2,4877.5,1148,1026,250,2116,2432,0.3408,6,18,18.42449682,18.636,11.96,,,,0.00277
2.64,10.41,11.01,697.2,4877.3,4749.6,1148,999,250,2116,2432,0.3408,6,18,14.78110352,14.98,11.96,,,,0.00277
2.64,8.19,7.65,697.2,4671.5,5083.5,1148,950,250,2116,2432,0.3408,6,18,11.95108952,12.142,11.96,0.008910476,0.182,????,0.00277
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,??,
,,,,,,,,,,,,,,,,,,Post??,7,
,,,,,,,,,,,,,,,,,,????,8,
